Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,,WAS,W,133,120,,50,98,.510,18,44,.409,32,54,.593,.602,15,19,.789,6,40,46,31,8,6,8,22,46,98,.469,17,42,.405,29,56,.518,.556,11,19,.579,13,43,56,23,5,4,13,19
2,2,2025-10-24,@,TOR,W,122,116,,47,90,.522,14,40,.350,33,50,.660,.600,14,25,.560,14,37,51,25,9,5,19,24,42,85,.494,11,27,.407,31,58,.534,.559,21,32,.656,10,31,41,25,10,4,16,21
3,3,2025-10-26,@,CLE,L,113,118,,40,79,.506,13,33,.394,27,46,.587,.589,20,28,.714,9,28,37,25,12,6,18,26,39,87,.448,12,40,.300,27,47,.574,.517,28,35,.800,10,34,44,23,10,2,17,23
4,4,2025-10-28,,NYK,W,121,111,,43,79,.544,14,34,.412,29,45,.644,.633,21,24,.875,4,34,38,27,7,8,13,21,39,92,.424,13,40,.325,26,52,.500,.495,20,23,.870,17,28,45,24,9,2,13,21
5,5,2025-10-30,,GSW,W,120,110,,46,96,.479,19,46,.413,27,50,.540,.578,9,13,.692,7,27,34,25,7,2,16,22,36,85,.424,13,38,.342,23,47,.489,.500,25,26,.962,9,35,44,23,8,6,22,17
6,6,2025-11-01,,SAC,L,133,135,,49,82,.598,15,32,.469,34,50,.680,.689,20,31,.645,9,28,37,30,5,2,11,26,45,87,.517,10,28,.357,35,59,.593,.575,35,40,.875,11,27,38,30,8,1,10,21
7,7,2025-11-03,@,IND,W,117,115,,42,88,.477,20,47,.426,22,41,.537,.591,13,22,.591,9,34,43,24,6,5,18,28,39,90,.433,8,33,.242,31,57,.544,.478,29,38,.763,14,31,45,24,8,4,12,24
8,8,2025-11-04,@,TOR,L,100,128,,37,86,.430,11,38,.289,26,48,.542,.494,15,21,.714,9,32,41,26,5,4,15,26,44,91,.484,17,38,.447,27,53,.509,.577,23,29,.793,10,40,50,33,8,6,10,23
9,9,2025-11-07,,CHI,W,126,110,,48,103,.466,16,39,.410,32,64,.500,.544,14,18,.778,14,39,53,27,10,6,11,16,44,90,.489,10,33,.303,34,57,.596,.544,12,16,.750,8,37,45,34,9,3,14,19
10,10,2025-11-09,,HOU,L,115,122,,44,79,.557,13,29,.448,31,50,.620,.639,14,24,.583,7,20,27,25,11,6,13,20,48,90,.533,10,26,.385,38,64,.594,.589,16,21,.762,20,30,50,24,8,3,18,19
11,11,2025-11-10,@,DAL,W,116,114,,41,91,.451,14,36,.389,27,55,.491,.527,20,25,.800,8,36,44,24,9,6,13,26,37,89,.416,9,39,.231,28,50,.560,.466,31,41,.756,16,36,52,25,8,8,15,22
12,12,2025-11-12,@,CHO,L,100,111,,40,88,.455,12,30,.400,28,58,.483,.523,8,13,.615,10,24,34,29,6,6,9,22,38,86,.442,12,40,.300,26,46,.565,.512,23,27,.852,15,35,50,27,5,5,16,15
13,13,2025-11-14,,CHO,W,147,134,OT,55,85,.647,20,34,.588,35,51,.686,.765,17,22,.773,5,34,39,37,10,3,22,25,47,98,.480,17,45,.378,30,53,.566,.566,23,29,.793,10,29,39,31,11,1,13,21
14,14,2025-11-15,,LAL,L,95,119,,32,80,.400,15,39,.385,17,41,.415,.494,16,24,.667,12,27,39,20,6,4,17,23,38,77,.494,13,33,.394,25,44,.568,.578,30,33,.909,11,36,47,23,13,4,17,20
15,15,2025-11-17,@,CLE,L,106,118,,39,93,.419,17,36,.472,22,57,.386,.511,11,15,.733,7,27,34,26,9,1,15,17,44,79,.557,15,35,.429,29,44,.659,.652,15,21,.714,4,41,45,25,7,5,18,17
16,16,2025-11-20,,PHI,L,114,123,OT,45,92,.489,14,36,.389,31,56,.554,.565,10,13,.769,3,39,42,30,7,2,14,19,42,97,.433,18,53,.340,24,44,.545,.526,21,26,.808,11,41,52,30,9,6,14,15
17,17,2025-11-22,,DET,L,116,129,,43,84,.512,20,43,.465,23,41,.561,.631,10,12,.833,6,29,35,29,8,7,17,19,49,78,.628,16,30,.533,33,48,.688,.731,15,24,.625,1,31,32,31,10,6,14,17
18,18,2025-11-24,,POR,L,103,115,,38,86,.442,13,37,.351,25,49,.510,.517,14,18,.778,8,31,39,22,10,5,13,26,36,79,.456,18,43,.419,18,36,.500,.570,25,33,.758,12,36,48,24,8,8,16,16
19,19,2025-11-26,@,MIA,L,103,106,,40,95,.421,14,42,.333,26,53,.491,.495,9,14,.643,11,36,47,31,7,1,14,15,39,85,.459,10,36,.278,29,49,.592,.518,18,20,.900,9,38,47,32,9,7,14,10
20,20,2025-11-28,@,NYK,L,109,118,,37,71,.521,18,41,.439,19,30,.633,.648,17,25,.680,5,30,35,24,9,4,15,26,38,84,.452,14,34,.412,24,50,.480,.536,28,33,.848,14,30,44,25,10,2,13,21
21,21,2025-11-29,,BRK,W,116,99,,44,84,.524,16,39,.410,28,45,.622,.619,12,17,.706,12,31,43,31,13,2,14,16,36,77,.468,16,42,.381,20,35,.571,.571,11,17,.647,6,25,31,23,4,4,20,16
22,22,2025-12-01,@,WAS,L,126,129,,46,84,.548,21,38,.553,25,46,.543,.673,13,21,.619,7,28,35,29,5,4,17,16,53,102,.520,13,36,.361,40,66,.606,.583,10,15,.667,14,27,41,29,9,4,10,17
23,23,2025-12-03,,DET,W,113,109,,40,82,.488,13,44,.295,27,38,.711,.567,20,21,.952,8,32,40,28,6,6,16,20,38,95,.400,14,43,.326,24,52,.462,.474,19,24,.792,13,31,44,25,8,5,15,18
24,24,2025-12-05,,PHI,L,101,116,,35,76,.461,11,32,.344,24,44,.545,.533,20,27,.741,7,30,37,26,8,3,18,21,39,86,.453,17,43,.395,22,43,.512,.552,21,22,.955,11,31,42,25,12,1,15,24
25,25,2025-12-06,@,DET,L,112,124,,37,84,.440,16,38,.421,21,46,.457,.536,22,32,.688,11,25,36,24,11,5,12,26,43,86,.500,15,40,.375,28,46,.609,.587,23,31,.742,16,37,53,31,5,4,16,26
26,26,2025-12-11,,BOS,W,116,101,,46,79,.582,13,29,.448,33,50,.660,.665,11,14,.786,5,35,40,28,5,5,16,24,34,88,.386,14,49,.286,20,39,.513,.466,19,25,.760,13,26,39,18,7,1,14,15
27,27,2025-12-14,@,BRK,L,82,127,,31,79,.392,8,35,.229,23,44,.523,.443,12,16,.750,7,30,37,20,8,1,20,18,45,85,.529,19,43,.442,26,42,.619,.641,18,19,.947,6,37,43,33,14,4,14,15
28,28,2025-12-18,,TOR,L,105,111,,38,84,.452,15,37,.405,23,47,.489,.542,14,16,.875,9,29,38,25,10,2,16,19,42,84,.500,13,35,.371,29,49,.592,.577,14,21,.667,12,33,45,31,9,2,17,20
29,29,2025-12-21,@,MIN,L,100,103,,35,87,.402,13,45,.289,22,42,.524,.477,17,20,.850,11,40,51,27,6,2,18,15,37,88,.420,14,46,.304,23,42,.548,.500,15,23,.652,11,35,46,28,10,4,10,18
30,30,2025-12-23,@,IND,W,111,94,,42,82,.512,10,30,.333,32,52,.615,.573,17,24,.708,7,41,48,20,6,7,15,26,33,81,.407,8,31,.258,25,50,.500,.457,20,33,.606,7,33,40,20,7,3,12,21
31,31,2025-12-26,@,MEM,L,104,125,,36,84,.429,14,39,.359,22,45,.489,.512,18,24,.750,15,33,48,18,11,2,22,25,43,85,.506,13,34,.382,30,51,.588,.582,26,32,.813,7,35,42,28,12,9,14,19
32,32,2025-12-27,@,CHI,W,112,103,,40,86,.465,13,36,.361,27,50,.540,.541,19,24,.792,11,36,47,22,12,3,12,16,39,93,.419,13,38,.342,26,55,.473,.489,12,16,.750,16,36,52,28,5,2,15,18
33,33,2025-12-29,@,CHO,W,123,113,,44,84,.524,16,34,.471,28,50,.560,.619,19,22,.864,5,26,31,29,9,5,9,17,40,93,.430,17,46,.370,23,47,.489,.522,16,20,.800,17,30,47,28,5,3,13,21
34,34,2025-12-31,,WAS,L,113,114,,41,89,.461,16,39,.410,25,50,.500,.551,15,22,.682,11,37,48,24,2,6,15,14,41,94,.436,19,39,.487,22,55,.400,.537,13,20,.650,13,31,44,31,8,8,10,18
35,35,2026-01-02,,CHO,W,122,121,,45,87,.517,16,37,.432,29,50,.580,.609,16,18,.889,8,28,36,31,7,4,11,23,40,82,.488,18,40,.450,22,42,.524,.598,23,28,.821,8,31,39,27,5,3,14,18
36,36,2026-01-04,@,SAC,W,115,98,,39,87,.448,10,37,.270,29,50,.580,.506,27,30,.900,12,36,48,23,4,2,13,21,34,80,.425,5,25,.200,29,55,.527,.456,25,32,.781,6,32,38,17,10,7,10,22
37,37,2026-01-07,@,GSW,L,113,120,,46,85,.541,14,32,.438,32,53,.604,.624,7,12,.583,5,31,36,29,3,3,12,15,44,89,.494,18,47,.383,26,42,.619,.596,14,18,.778,8,33,41,31,6,2,10,15
